model name	subset name	split	class	lAcc	lAcc (norm)	CER (total)	CER (errors)
baseline	test	holdout	1-100	0.9989039622797584	0.9989039622797584	0.0007357140887623	0.6712488769092543
baseline	test	holdout	101-1000	0.9965190863579474	0.9967928660826032	0.0010827420910337	0.3110511211634807
baseline	test	holdout	1001-10000	0.989360298966806	0.990811167289514	0.0027404878503238	0.2575718849405618
baseline	test	holdout	10001-n	0.9738303913097148	0.9767929885199358	0.0161294248942288	0.6163418446610732
baseline	test	holdout	punct	0.9996438429347342	0.9996438429347342	0.0005639153533374	1.5833333333333333
baseline	test	holdout	all	0.995608935239017	0.9960711525822784	0.0019879434035338	0.4527246833610259
baseline	test	unknown	1-100	0.8767123287671232	0.8835616438356164	0.0432322243966079	0.3506613756613756
baseline	test	unknown	101-1000	0.9435318275154004	0.9507186858316222	0.0171373088467544	0.303486160304342
baseline	test	unknown	1001-10000	0.967624259005928	0.971500227998176	0.005573410224573	0.1721477270773045
baseline	test	unknown	10001-n	0.9328071672354948	0.9396331058020476	0.0287904627103731	0.4284752037658077
baseline	test	unknown	punct	0.5	0.5	0.40491452991453	0.80982905982906
baseline	test	unknown	all	0.9430413756045136	0.949019344438474	0.021481561416951	0.3771432622353382
baseline	test	all	1-100	0.9985361428394706	0.9985567605459568	0.0008636364528905	0.5899731723675385
baseline	test	all	101-1000	0.9945746364252882	0.9951021023283853	0.0016718894054814	0.308161726390893
baseline	test	all	1001-10000	0.9858464487118056	0.9876893590357894	0.0031984583465627	0.2259827432307114
baseline	test	all	10001-n	0.9518223951479088	0.9568575842535904	0.0229217742999717	0.4757765432786299
baseline	test	all	punct	0.9995548829342116	0.9995548829342116	0.0006359086969787	1.4286324786324789
baseline	test	all	all	0.9905054417643184	0.9915031528976008	0.0038804709056939	0.4087047347933177
baseline	school	holdout	1-100	0.9988112618252328	0.9988157817422472	0.0006521164080951	0.5485786710121312
baseline	school	holdout	101-1000	0.990466028243669	0.9910823658117552	0.0024189506926276	0.2537190957190957
baseline	school	holdout	1001-10000	0.9864129407762954	0.9897199440644016	0.0028539031245426	0.2100456822594552
baseline	school	holdout	10001-n	0.9757595426517212	0.9824375265247024	0.0087441076295136	0.3607237068130054
baseline	school	holdout	punct	0.0	0.0	0.0	0.0
baseline	school	holdout	all	0.9899763186743304	0.9918793039749498	0.0026986664793979	0.2692290777926949
baseline	school	unknown	1-100	0.9980614583061066	0.9980875959469232	0.0011734037473079	0.6053023006955591
baseline	school	unknown	101-1000	0.9669885470469346	0.9673628265588742	0.0091437375908518	0.2769868264766224
baseline	school	unknown	1001-10000	0.9865253995120128	0.9874705998725078	0.0032949368388175	0.2445294642876448
baseline	school	unknown	10001-n	0.9421599559513716	0.9500869610816386	0.0296032179243625	0.5118118150026651
baseline	school	unknown	punct	0.9997804128238912	0.9997804128238912	0.0002605439535522	1.186517164476956
baseline	school	unknown	all	0.9888691281654746	0.990114053740576	0.0053411481590972	0.4798499379473832
baseline	school	all	1-100	0.998429448288254	0.9984449763419012	0.0009175653659756	0.5842312348668282
baseline	school	all	101-1000	0.9882751924447114	0.9888689420081308	0.0030464841044759	0.2598323332907784
baseline	school	all	1001-10000	0.9864294398596504	0.989389937532854	0.0029186082091925	0.2150691039284857
baseline	school	all	10001-n	0.9559971829972292	0.9634098070764344	0.0210128668674132	0.4775345829811325
baseline	school	all	punct	0.9997804128238912	0.9997804128238912	0.0002605439535522	1.186517164476956
baseline	school	all	all	0.989439867124156	0.9910240119388446	0.0039789912130765	0.3767936691571723
baseline	poetic_18	holdout	1-100	0.999078856776376	0.9991794594492632	0.0004719792363269	0.5123842028278889
baseline	poetic_18	holdout	101-1000	0.9912102383144114	0.9930321161910608	0.0035309970513445	0.4017170405352224
baseline	poetic_18	holdout	1001-10000	0.9912954492213988	0.9941003859099709	0.0025710229468844	0.295365379820054
baseline	poetic_18	holdout	10001-n	0.9747238344879235	0.9795294264494788	0.008028771913072	0.3176420058349453
baseline	poetic_18	holdout	punct	0.998807192959112	0.998807192959112	0.0011976953970857	1.0040981952906411
baseline	poetic_18	holdout	all	0.9945667978785162	0.9957519843643176	0.0020698558955246	0.3809642728622462
baseline	poetic_18	unknown	1-100	0.9351719197707736	0.9387535816618912	0.048891390367035	0.7541699552749276
baseline	poetic_18	unknown	101-1000	0.948609856468935	0.9528254541804676	0.0188759666176107	0.3673071394751082
baseline	poetic_18	unknown	1001-10000	0.9596038455533	0.965202649952042	0.0113156955191778	0.2801181368416685
baseline	poetic_18	unknown	10001-n	0.9203565497508954	0.9305908481562256	0.0274783080810075	0.3450165455547485
baseline	poetic_18	unknown	punct	0.0	0.0	0.0	0.0
baseline	poetic_18	unknown	all	0.9335741126288528	0.941990808916874	0.0227145221798204	0.3419528602291096
baseline	poetic_18	all	1-100	0.9985227892481496	0.9986536813400856	0.0008932865861576	0.6047116736990155
baseline	poetic_18	all	101-1000	0.9886595150094656	0.990624718290814	0.0044497862685007	0.3923805967923615
baseline	poetic_18	all	1001-10000	0.9844333357482672	0.9878432224878648	0.00446448773033	0.2867979714943152
baseline	poetic_18	all	10001-n	0.9415970740627856	0.9497104541298385	0.0198796511344953	0.3403879311777439
baseline	poetic_18	all	punct	0.998807192959112	0.998807192959112	0.0011976953970857	1.0040981952906411
baseline	poetic_18	all	all	0.9855762528384824	0.987827390336576	0.0051129552656488	0.3544817590320843
baseline	poetic_19	holdout	1-100	0.9993692884200298	0.9993730606184744	0.000383147584893	0.6074846206425154
baseline	poetic_19	holdout	101-1000	0.9930730443503456	0.9942667706708268	0.00208488573773	0.3009815340501043
baseline	poetic_19	holdout	1001-10000	0.9912689056408376	0.9941771757354252	0.0024965296376712	0.2859354778420562
baseline	poetic_19	holdout	10001-n	0.9720750273361932	0.978513369883544	0.0135116889924208	0.4838568386472625
baseline	poetic_19	holdout	punct	0.9982286792577564	0.9982286792577564	0.0017806774392369	1.0052823279093976
baseline	poetic_19	holdout	all	0.9947007171783268	0.9958776897819888	0.0022659742129631	0.427600165761247
baseline	poetic_19	unknown	1-100	0.9414281893554426	0.9446376036373362	0.0346476648963945	0.5915416394868449
baseline	poetic_19	unknown	101-1000	0.95584378256027	0.959041425645816	0.0141124911208984	0.319603714701355
baseline	poetic_19	unknown	1001-10000	0.9741225020234608	0.977000946181644	0.0066261531850624	0.2560584949545649
baseline	poetic_19	unknown	10001-n	0.9350357442219293	0.9466212500600631	0.0267203863523908	0.4113090503749061
baseline	poetic_19	unknown	punct	0.0	0.0	0.0	0.0
baseline	poetic_19	unknown	all	0.9478628657886592	0.9563666999071558	0.0201067074746965	0.3856504155597224
baseline	poetic_19	all	1-100	0.9992063050226222	0.999219094420362	0.000479530765953	0.6041751297675467
baseline	poetic_19	all	101-1000	0.991683573515628	0.9929520900351724	0.0025337801312219	0.3046717404384286
baseline	poetic_19	all	1001-10000	0.988171194846278	0.9910740765149768	0.0032425974269104	0.2741272161280134
baseline	poetic_19	all	10001-n	0.9502643972309028	0.9597336535861822	0.0212896476370925	0.4280564917636953
baseline	poetic_19	all	punct	0.9982286792577564	0.9982286792577564	0.0017806774392369	1.0052823279093976
baseline	poetic_19	all	all	0.9889179423366188	0.990999516436284	0.0044686573079937	0.4032335369233541
baseline	poetic_20	holdout	1-100	0.9994766236758984	0.999490143730195	0.000293823685816	0.5614004155048932
baseline	poetic_20	holdout	101-1000	0.9936772032076788	0.9947374532086328	0.0018956659952193	0.2998144741139826
baseline	poetic_20	holdout	1001-10000	0.9908956823412548	0.9935211468143488	0.0024096227275284	0.2646681297652171
baseline	poetic_20	holdout	10001-n	0.9713635937495274	0.9787805106709851	0.0128087060084916	0.4472874807145278
baseline	poetic_20	holdout	punct	0.9978504832561748	0.9978504832561748	0.0022561765986293	1.0496203879828023
baseline	poetic_20	holdout	all	0.9946652964044448	0.9958153290722412	0.0022661081208661	0.4247861348387089
baseline	poetic_20	unknown	1-100	0.9235676314235086	0.9271116361488482	0.0477685427390093	0.6249779200706558
baseline	poetic_20	unknown	101-1000	0.9313256761344348	0.9343244313681114	0.0200303558831622	0.2916716868210174
baseline	poetic_20	unknown	1001-10000	0.9750358229873756	0.9770649206664644	0.0063586046169936	0.2547091624041162
baseline	poetic_20	unknown	10001-n	0.9409298660362492	0.9531513718747762	0.0194092793593597	0.3285802495601328
baseline	poetic_20	unknown	punct	1.0	1.0	0.0	0.0
baseline	poetic_20	unknown	all	0.9505788800422909	0.9593107051040688	0.0156970783521743	0.3176188310909736
baseline	poetic_20	all	1-100	0.9992840561798628	0.9993065324404364	0.0004142585315675	0.5786187685622596
baseline	poetic_20	all	101-1000	0.9913634958368522	0.9924956788610354	0.0025685984417991	0.2974118223388917
baseline	poetic_20	all	1001-10000	0.9879467508463606	0.9904613287862192	0.0031438837828614	0.2608328876958578
baseline	poetic_20	all	10001-n	0.9527118672841404	0.9630733422664468	0.0168539577047339	0.3564098799587701
baseline	poetic_20	all	punct	0.9978504840086864	0.9978504840086864	0.0022561758087779	1.0496203879828023
baseline	poetic_20	all	all	0.988951778672987	0.9910843975624304	0.0040067369335344	0.3626590031952013
BART_4-4-404_66m	test	holdout	1-100	0.9991314418066011	0.9991314418066011	0.0005316718465035117	0.6121315192743764
BART_4-4-404_66m	test	holdout	101-1000	0.9971448685857321	0.9973795369211514	0.0013237808421240839	0.4636497064579257
BART_4-4-404_66m	test	holdout	1001-10000	0.9971861947680809	0.9979336117828094	0.0012288240569181435	0.4367125496031746
BART_4-4-404_66m	test	holdout	10001-n	0.989260585112949	0.9923466238735958	0.003482935408006387	0.3243133303478131
BART_4-4-404_66m	test	holdout	punct	0.9999109607336836	0.9999109607336836	8.903926631644555e-05	1.0
BART_4-4-404_66m	test	holdout	all	0.9980572427291046	0.9984039057365506	0.0008574190599352556	0.4413413208022874
BART_4-4-404_66m	test	unknown	1-100	0.8561643835616438	0.8698630136986302	0.06035551206784083	0.4196145124716553
BART_4-4-404_66m	test	unknown	101-1000	0.9373716632443532	0.9435318275154004	0.02062403145565363	0.32930830553781376
BART_4-4-404_66m	test	unknown	1001-10000	0.9790241678066576	0.9831281349749202	0.004840589946609099	0.2307698641937772
BART_4-4-404_66m	test	unknown	10001-n	0.9541382252559727	0.9623506825938567	0.010666183825376256	0.2325724175505297
BART_4-4-404_66m	test	unknown	punct	0.6666666666666666	0.6666666666666666	0.08333333333333333	0.25
BART_4-4-404_66m	test	unknown	all	0.9592960773777539	0.9662144008597529	0.010117992910549883	0.2485753769839384
BART_4-4-404_66m	test	all	1-100	0.9987010844913612	0.9987423199043338	0.0007117526817745365	0.5479591836734694
BART_4-4-404_66m	test	all	101-1000	0.9949513977846433	0.9954035114158691	0.0020320335773202926	0.40249429260623293
BART_4-4-404_66m	test	all	1001-10000	0.9942501197891711	0.9955401570159595	0.0018127024687785442	0.3152591710284018
BART_4-4-404_66m	test	all	10001-n	0.9704182640041197	0.976254505922069	0.0073365794636944285	0.24801044349514031
BART_4-4-404_66m	test	all	punct	0.9998516276447372	0.9998516276447372	0.00010386064868393721	0.7
BART_4-4-404_66m	test	all	all	0.9942941356756722	0.9952788048333562	0.001756476930362906	0.3078371357120937
BART_4-4-404_66m	school	holdout	1-100	0.9986982638998748	0.9987073037339035	0.0007889192297286565	0.6060515873015873
BART_4-4-404_66m	school	holdout	101-1000	0.9947033490242606	0.9947880954398725	0.0018210176491442142	0.34380548340548345
BART_4-4-404_66m	school	holdout	1001-10000	0.9975055746626856	0.9983824029630749	0.0011884174087961078	0.47642933665660936
