model name	subset name	LPS	lAcc	dtype	caching
baseline	test	956.93558913	0.98972667	fp32	False
baseline	test	3196.07719137	0.98972667	fp32	True
baseline	test	2482.70736057	0.98972667	fp16	False
baseline	test	8405.50441199	0.98970070	fp16	True
BART_4-4-404_66m	test	2114.98839106	0.99187615	fp32	False
BART_4-4-404_66m	test	7028.71642658	0.99187615	fp32	True
BART_4-4-404_66m	test	6115.63915877	0.99186965	fp16	False
BART_4-4-404_66m	test	19432.33943302	0.99186965	fp16	True
distill_4-4	test	1537.71686564	0.98127813	fp32	False
distill_4-4	test	5005.72071024	0.98127813	fp32	True
distill_4-4	test	3923.66883843	0.98130410	fp16	False
distill_4-4	test	12913.49382430	0.98130410	fp16	True
BART_4-4-1238_67m	test	2775.20711253	0.93289218	fp32	False
BART_4-4-1238_67m	test	9254.56299296	0.93289218	fp32	True
BART_4-4-1238_67m	test	7956.29176474	0.93289868	fp16	False
BART_4-4-1238_67m	test	24826.06200707	0.93289868	fp16	True
